Year,Month,지역,local_id,가정용,업무용,산업용
2021,07,경  남,38,416514,862936,1729159
2021,07,제  주,39,86613,270374,129850
2021,07,세  종,29,49119,105239,160939
2021,08,서  울,11,1805751,3149879,148237
2021,08,부  산,21,557261,874654,605302
2021,08,대  구,22,389968,621863,449547
2021,08,인  천,23,555107,807431,1024947
2021,08,광  주,24,252671,378914,244935
2021,08,대  전,25,246980,504451,214349
2021,08,울  산,26,183178,366059,2362485
2021,08,경  기,31,2468355,3967366,5760641
2021,08,강  원,32,242633,623446,583055
2021,08,충  북,33,270848,554654,1682360
2021,08,충  남,34,364013,683454,3209931
2021,08,전  북,35,283998,552301,1087028
2021,08,전  남,36,281142,642875,2149032
2021,08,경  북,37,400129,932962,2433617
2021,08,경  남,38,537914,955194,1635708
2021,08,제  주,39,111501,295830,136977
2021,08,세  종,29,71039,110752,157209
2021,09,서  울,11,1306689,2704284,134108
2021,09,부  산,21,464201,782966,595120
2021,09,대  구,22,307318,541515,452553
2021,09,인  천,23,410626,709487,945057
2021,09,광  주,24,204989,338495,238273
2021,09,대  전,25,191805,438456,200584
2021,09,울  산,26,152513,335461,2373587
2021,09,경  기,31,1835426,3488847,6047525
2021,09,강  원,32,191598,549943,571011
2021,09,충  북,33,207718,493819,1609373
2021,09,충  남,34,285912,627500,3064909
2021,09,전  북,35,230688,500224,1060143
2021,09,전  남,36,234508,597662,2004593
2021,09,경  북,37,318219,829140,2530676
2021,09,경  남,38,433670,873837,1598937
2021,09,제  주,39,97369,266610,131568
2021,09,세  종,29,60033,99654,149663
2021,10,서  울,11,1106205,2358219,114189
2021,10,부  산,21,385219,706026,589639
2021,10,대  구,22,264572,487316,423189
2021,10,인  천,23,348830,642121,934070
2021,10,광  주,24,171532,300577,233493
2021,10,대  전,25,158813,397247,198297
2021,10,울  산,26,126664,315801,2354704
2021,10,경  기,31,1577530,3214512,5595162
2021,10,강  원,32,173753,524754,582372
2021,10,충  북,33,179112,464456,1589354
2021,10,충  남,34,241926,609404,3003891
2021,10,전  북,35,196875,445640,1036947
2021,10,전  남,36,198831,553454,1974208
2021,10,경  북,37,284336,769795,2573644
2021,10,경  남,38,369253,798294,1530326
2021,10,제  주,39,77291,246548,123108
2021,10,세  종,29,47279,92964,146457
2021,11,서  울,11,1101162,2317422,118555
2021,11,부  산,21,383089,691908,599219
2021,11,대  구,22,270835,489716,460510
2021,11,인  천,23,352653,661782,931980
2021,11,광  주,24,171344,292729,246738
2021,11,대  전,25,162384,399855,191571
2021,11,울  산,26,127439,338719,2280126
2021,11,경  기,31,1609745,3376074,5775244
2021,11,강  원,32,184286,631787,590103
2021,11,충  북,33,187810,538099,1608009
2021,11,충  남,34,248004,666027,3194662
2021,11,전  북,35,201776,488194,1046098
2021,11,전  남,36,200563,551971,1927182
2021,11,경  북,37,294335,819806,2495692
2021,11,경  남,38,373424,822880,1672617
2021,11,제  주,39,72193,237600,128384
2021,11,세  종,29,48302,97909,151077
2021,12,서  울,11,1146475,2684746,132477
2021,12,부  산,21,393771,757230,636218
2021,12,대  구,22,279789,562821,492200
2021,12,인  천,23,366950,779483,1012890
2021,12,광  주,24,176165,330591,254656
2021,12,대  전,25,166905,453890,193683
2021,12,울  산,26,129029,333031,2444440
2021,12,경  기,31,1669471,4000495,6133978
2021,12,강  원,32,191652,773857,608045
2021,12,충  북,33,194943,650834,1661086
2021,12,충  남,34,258853,784653,3345271
2021,12,전  북,35,211747,575912,1076681
2021,12,전  남,36,209908,617226,2139111
2021,12,경  북,37,306075,951887,2596237
2021,12,경  남,38,391114,922216,1820678
2021,12,제  주,39,76295,252675,144320
2021,12,세  종,29,48961,753406,155567
2022,01,서  울,11,1268167,3098081,151768
2022,01,부  산,21,434004,841688,645226
2022,01,대  구,22,304837,633953,510725
2022,01,인  천,23,407497,897333,1075778
2022,01,광  주,24,192007,376212,257662
2022,01,대  전,25,183876,515633,213714
2022,01,울  산,26,141911,364383,2401631
2022,01,세  종,29,54158,-512498,159627
2022,01,경  기,31,1845233,4664460,6454270
2022,01,강  원,32,215240,913219,570722
2022,01,충  북,33,216079,765932,1686378
2022,01,충  남,34,286820,923233,3397096
2022,01,전  북,35,229834,666930,1112546
2022,01,전  남,36,231489,696449,2160337
2022,01,경  북,37,334354,1081615,2749036
2022,01,경  남,38,427159,1058922,1944117
2022,01,제  주,39,86998,282986,183369
2022,02,서  울,11,1249190,2933022,145161
2022,02,부  산,21,436000,803817,576829
2022,02,대  구,22,306579,605954,476091
2022,02,인  천,23,404692,832007,944808
2022,02,광  주,24,192382,358340,237813
2022,02,대  전,25,185326,490928,196264
2022,02,울  산,26,143347,340012,2191299
2022,02,세  종,29,55578,119856,144882
2022,02,경  기,31,1829616,4432269,5952653
2022,02,강  원,32,215765,892132,512682
2022,02,충  북,33,217161,740408,1534254
2022,02,충  남,34,287818,1043826,3101634
2022,02,전  북,35,232182,651986,1020732
2022,02,전  남,36,232173,671140,1983719
2022,02,경  북,37,333806,1052660,2462368
2022,02,경  남,38,423178,1012818,1773431
2022,02,제  주,39,87711,278040,195108
2022,03,서  울,11,1108591,2573923,130487
2022,03,부  산,21,384909,741704,617985
2022,03,대  구,22,269846,533183,483313
2022,03,인  천,23,359210,765953,1013754
2022,03,광  주,24,170870,320672,243857
2022,03,대  전,25,163341,446335,200752
2022,03,울  산,26,125864,321081,2416910
2022,03,세  종,29,49147,108823,155466
2022,03,경  기,31,1623139,3915606,6094534
2022,03,강  원,32,186426,745414,551798
2022,03,충  북,33,187361,642338,1647608
2022,03,충  남,34,250327,630901,3295169
2022,03,전  북,35,201151,564893,1087090
2022,03,전  남,36,201530,604589,2199200
2022,03,경  북,37,292197,935746,2675302
2022,03,경  남,38,375995,898029,1822393
2022,03,제  주,39,76996,245988,179084
2022,04,서  울,11,1096677,2368957,121342
2022,04,부  산,21,395933,694334,604113
2022,04,대  구,22,276233,499782,471986
2022,04,인  천,23,360832,671568,988933
2022,04,광  주,24,175471,300715,236705
2022,04,대  전,25,169188,415578,194734
2022,04,울  산,26,130896,302429,2276729
2022,04,세  종,29,51148,99702,152403
2022,04,경  기,31,1638252,3531841,5890683
2022,04,강  원,32,188334,652914,568839
2022,04,충  북,33,192642,568556,1606517
2022,04,충  남,34,256404,720419,3111406
2022,04,전  북,35,207866,515649,1032627
2022,04,전  남,36,206541,572105,2072763
2022,04,경  북,37,297770,878856,2551081
2022,04,경  남,38,377952,851381,1715386
2022,04,제  주,39,75327,243817,175936
2022,05,서  울,11,1042289,2330403,111589
2022,05,부  산,21,365442,671896,594495
2022,05,대  구,22,254325,485495,452564
2022,05,인  천,23,332217,634458,973360
2022,05,광  주,24,160248,278806,233364
2022,05,대  전,25,152645,396014,193748
2022,05,울  산,26,118477,298948,2329360
2022,05,세  종,29,45795,93576,151617
2022,05,경  기,31,1502518,3315339,5814815
2022,05,강  원,32,167868,569280,587853
2022,05,충  북,33,172050,483716,1620874
