local_id,년-월,총인구수
38,2022-11,3282849
38,2022-12,3280493
39,2020-01,670749
39,2020-02,670876
39,2020-03,670508
39,2020-04,670595
39,2020-05,670793
39,2020-06,671316
39,2020-07,671913
39,2020-08,672524
39,2020-09,672948
39,2020-10,673606
39,2020-11,674001
39,2020-12,674635
39,2021-01,674615
39,2021-02,675137
39,2021-03,673974
39,2021-04,674484
39,2021-05,674877
39,2021-06,675293
39,2021-07,675876
39,2021-08,675883
39,2021-09,676079
39,2021-10,676569
39,2021-11,676768
39,2021-12,676759
39,2022-01,676691
39,2022-02,677143
39,2022-03,677218
39,2022-04,677413
39,2022-05,677766
39,2022-06,678012
39,2022-07,678491
39,2022-08,679016
39,2022-09,678426
39,2022-10,678324
39,2022-11,678373
39,2022-12,678159
